Country,Confirmed,Deaths,Recovered,Active,New Cases,Deaths / 100 Cases,Recovered / 100 Cases,Deaths / 100 Recovered,Population,Cases / Million People,Confirmed last week,1 week change,1 week % increase
Afghanistan,142414,6266,82586,53562,925,4.4,57.99,7.59,38928341,3658.0,134653,7761,5.76
Albania,132740,2456,130086,198,43,1.85,98.0,1.89,2877800,46126.0,132608,132,0.1
Algeria,155784,3979,107041,44764,1298,2.55,68.71,3.72,43851043,3553.0,147883,7901,5.34
Andorra,14379,127,13930,322,20,0.88,96.88,0.91,77265,186100.0,14167,212,1.5
Angola,41061,970,34857,5234,155,2.36,84.89,2.78,32866268,1249.0,40138,923,2.3
Antigua and Barbuda,1275,42,1225,8,0,3.29,96.08,3.43,97928,13020.0,1266,9,0.71
Argentina,4784219,102381,4420995,260843,15077,2.14,92.41,2.32,45195777,105855.0,4682960,101259,2.16
Armenia,227716,4572,218529,4615,194,2.01,95.97,2.09,2963234,76847.0,226597,1119,0.49
Australia,32266,915,23965,7386,146,2.84,74.27,3.82,50919400,634.0,31429,837,2.66
Austria,654314,10729,639831,3754,316,1.64,97.79,1.68,9006400,72650.0,652022,2292,0.35
Azerbaijan,338837,4994,331429,2414,251,1.47,97.81,1.51,10139175,33419.0,337456,1381,0.41
Bahamas,13604,274,12112,1218,38,2.01,89.03,2.26,393248,34594.0,13233,371,2.8
Bahrain,268027,1380,265832,815,78,0.51,99.18,0.52,1701583,157516.0,267400,627,0.23
Bangladesh,1128889,18325,951340,159224,11579,1.62,84.27,1.93,164689383,6855.0,1047155,81734,7.81
Barbados,4292,48,4058,186,23,1.12,94.55,1.18,287371,14935.0,4196,96,2.29
Belarus,435620,3344,429257,3019,600,0.77,98.54,0.78,9449321,46101.0,429181,6439,1.5
Belgium,1108675,25213,0,1083462,1467,2.27,0.0,7.826335078534032,23021022,48159.0,1098332,10343,0.94
Belize,13816,332,13117,367,44,2.4,94.94,2.53,397621,34747.0,13587,229,1.69
Benin,8244,107,8081,56,0,1.3,98.02,1.32,12123198,680.0,8227,17,0.21
Bhutan,2455,2,2125,328,28,0.08,86.56,0.09,771612,3182.0,2324,131,5.64
Bolivia,463125,17475,392548,53102,0,3.77,84.76,4.45,11673029,39675.0,456815,6310,1.38
Bosnia and Herzegovina,205340,9669,188019,7652,27,4.71,91.56,5.14,3280815,62588.0,205214,126,0.06
Botswana,91902,1328,75782,14792,0,1.45,82.46,1.75,2351625,39080.0,80153,11749,14.66
Brazil,19419437,544180,17371065,1504192,27592,2.8,89.45,3.13,422706534,45941.0,19151993,267444,1.4
Brunei,305,3,261,41,22,0.98,85.57,1.15,437483,697.0,282,23,8.16
Bulgaria,423223,18184,397648,7391,145,4.3,93.96,4.57,6948445,60909.0,422619,604,0.14
Burkina Faso,13537,169,13350,18,1,1.25,98.62,1.27,20903278,648.0,13523,14,0.1
Burma,240570,5567,167171,67832,5860,2.31,69.49,3.33,54409800,4421.0,201274,39296,19.52
Burundi,5942,8,773,5161,48,0.13,13.01,1.03,11890781,500.0,5706,236,4.14
Cabo Verde,33356,296,32525,535,39,0.89,97.51,0.91,555988,59994.0,33053,303,0.92
Cambodia,68796,1149,61039,6608,825,1.67,88.72,1.88,16718971,4115.0,62700,6096,9.72
Cameroon,81467,1330,35261,44876,0,1.63,43.28,3.77,26545864,3069.0,80858,609,0.75
Canada,1431691,26468,1400194,5029,313,1.85,97.8,1.89,75750184,18900.0,1429029,2662,0.19
Central African Republic,7147,98,6859,190,5,1.37,95.97,1.43,4829764,1480.0,7142,5,0.07
Chad,4965,174,4777,14,1,3.5,96.21,3.64,16425859,302.0,4954,11,0.22
Chile,1601858,34569,1555294,11995,975,2.16,97.09,2.22,36692988,43656.0,1590887,10971,0.69
China,104362,4848,98798,716,7,4.65,94.67,4.91,2809352660,37.0,104126,236,0.23
Colombia,4668750,117131,4422866,128753,12829,2.51,94.73,2.65,99141018,47092.0,4548142,120608,2.65
Comoros,4011,147,3837,27,0,3.66,95.66,3.83,869595,4612.0,3996,15,0.38
Congo (Brazzaville),13050,176,11759,1115,52,1.35,90.11,1.5,89561403,146.0,12790,260,2.03
Congo (Kinshasa),46725,1018,29205,16502,369,2.18,62.5,3.49,5518087,8468.0,44512,2213,4.97
Costa Rica,394135,4915,318436,70784,1354,1.25,80.79,1.54,5094114,77371.0,385069,9066,2.35
Cote d'Ivoire,49288,322,48537,429,69,0.65,98.48,0.66,26378274,1869.0,48903,385,0.79
Croatia,361759,8243,352777,739,146,2.28,97.52,2.34,4105268,88121.0,360924,835,0.23
Cuba,294449,2019,256757,35673,6057,0.69,87.2,0.79,11326616,25996.0,250527,43922,17.53
Cyprus,93247,391,39061,53795,995,0.42,41.89,1.0,1207361,77232.0,86185,7062,8.19
Czechia,1671372,30341,1638061,2970,227,1.82,98.01,1.85,10708981,156072.0,1669745,1627,0.1
Denmark,308788,2543,294800,11445,830,0.82,95.47,0.86,5897840,52356.0,302081,6707,2.22
Diamond Princess,712,13,699,0,0,1.83,98.17,1.86,0,34648.494791666664,712,0,0.0
Djibouti,11628,155,11466,7,1,1.33,98.61,1.35,988002,11769.0,11621,7,0.06
Dominica,206,0,195,11,0,0.0,94.66,0.0,71991,2861.0,199,7,3.52
Dominican Republic,337975,3928,280645,53402,237,1.16,83.04,1.4,10847904,31156.0,335079,2896,0.86
Ecuador,477946,30744,443880,3322,1634,6.43,92.87,6.93,17643060,27090.0,470882,7064,1.5
Egypt,283813,16457,225068,42288,51,5.8,79.3,7.31,102334403,2773.0,283320,493,0.17
El Salvador,82852,2508,75136,5208,0,3.03,90.69,3.34,6486201,12774.0,82130,722,0.88
Equatorial Guinea,8848,123,8591,134,20,1.39,97.1,1.43,1402985,6307.0,8815,33,0.37
Eritrea,6450,32,6158,260,8,0.5,95.47,0.52,3546427,1819.0,6327,123,1.94
Estonia,131963,1271,128177,2515,81,0.96,97.13,0.99,1326539,99479.0,131562,401,0.3
Eswatini,21496,727,19086,1683,253,3.38,88.79,3.81,1160164,18528.0,20280,1216,6.0
Ethiopia,277877,4359,262550,10968,97,1.57,94.48,1.66,114963583,2417.0,277212,665,0.24
Fiji,19352,125,4233,14994,1054,0.65,21.87,2.95,896444,21588.0,12032,7320,60.84
Finland,100773,978,46000,53795,461,0.97,45.65,2.13,5540718,18188.0,98505,2268,2.3
France,5952339,111715,409403,5431221,18217,1.88,6.88,27.29,68151730,87340.0,5882945,69394,1.18
Gabon,25283,163,25005,115,0,0.64,98.9,0.65,2225728,11359.0,25198,85,0.34
Gambia,6920,190,6015,715,0,2.75,86.92,3.16,2416664,2863.0,6414,506,7.89
Georgia,390945,5592,367130,18223,2616,1.43,93.91,1.52,3989175,98001.0,379673,11272,2.97
Germany,3754846,91423,3640270,23153,1626,2.43,96.95,2.51,166803158,22511.0,3745312,9534,0.25
Ghana,99160,815,95221,3124,343,0.82,96.03,0.86,31072945,3191.0,97728,1432,1.47
Greece,463473,12843,93764,356866,4327,2.77,20.23,13.7,10423056,44466.0,444783,18690,4.2
Grenada,161,1,160,0,0,0.62,99.38,0.62,112519,1431.0,161,0,0.0
Guatemala,334375,9927,293208,31240,0,2.97,87.69,3.39,17915567,18664.0,322120,12255,3.8
Guinea,24765,194,23655,916,54,0.78,95.52,0.82,13132792,1886.0,24173,592,2.45
Guinea-Bissau,4087,73,3725,289,35,1.79,91.14,1.96,1967998,2077.0,3961,126,3.18
Guyana,21668,514,19993,1161,106,2.37,92.27,2.57,786559,27548.0,21055,613,2.91
Haiti,19563,510,12961,6092,16,2.61,66.25,3.93,11402533,1716.0,19220,343,1.78
Holy See,27,0,27,0,0,0.0,100.0,0.0,809,33375.0,27,0,0.0
Honduras,282686,7507,96452,178727,4712,2.66,34.12,7.78,9904608,28541.0,275675,7011,2.54
Hungary,808889,30019,743449,35421,25,3.71,91.91,4.04,9660350,83733.0,808556,333,0.04
Iceland,6832,30,6639,163,114,0.44,97.18,0.45,341250,20021.0,6675,157,2.35
India,31216337,418480,30390687,407170,42015,1.34,97.36,1.38,2751341248,11346.0,30946147,270190,0.87
